,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
1796,Don Clune,1976.0,24.0,SEA,WR,88.0,10,1,,4.0,67.0,16.8,0,,,27.0,0.4,6.7,,,,,0,,,,,,,4.0,16.8,67.0,0,0.0,1,,,,,,,,,,,,,,,,,4526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Sammie Coates,2015.0,22.0,PIT,WR,14.0,6,0,2,1,11,11.0,0,1,50.0,11,0.2,1.8,50.0%,5.5,,,0,,,,,,,1,11.0,11,0,0.0,0,,,,,,,,,,,,,,,,,4535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Sammie Coates,2016.0,23.0,PIT,WR,14.0,14,5,49,21,435,20.7,2,16,32.7,72,1.5,31.1,42.9%,8.9,4.0,14.0,0,1.0,50.0,15.0,3.5,1.0,0.3,25,18.0,449,2,0.0,4,,,,,,,,,,,,,,,,,4535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Sammie Coates,2017.0,24.0,CLE,WR,10.0,12,1,11,6,70,11.7,0,2,27.3,38,0.5,5.8,54.5%,6.4,,,0,,,,,,,6,11.7,70,0,0.0,0,,,,,,,,,,,,,,,,,4535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Sammie Coates,2018.0,25.0,HOU,WR,18.0,12,0,2,1,12,12.0,0,1,50.0,12,0.1,1.0,50.0%,6.0,,,0,,,,,,,1,12.0,12,0,0.0,0,,,,,,,,,,,,,,,,,4535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Randall Cobb,2011.0,21.0,GNB,WR,18.0,15,0,31,25,375,15.0,1,15,74.2,61,1.7,25.0,80.6%,12.1,2.0,5.0,0,0.0,50.0,4.0,2.5,0.3,0.1,27,14.1,380,1,3.0,7,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Randall Cobb,2012.0,22.0,GNB,WR,18.0,15,8,104,80,954,11.9,8,47,59.6,39,5.3,63.6,76.9%,9.2,10.0,132.0,0,7.0,90.0,28.0,13.2,8.8,0.7,90,12.1,1086,8,4.0,11,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Randall Cobb,2013.0,23.0,GNB,WR,18.0,6,4,47,31,433,14.0,4,18,48.9,48,5.2,72.2,66.0%,9.2,4.0,78.0,0,1.0,50.0,67.0,19.5,13.0,0.7,35,14.6,511,4,0.0,4,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Randall Cobb,2014.0,24.0,GNB,WR,18.0,16,16,127,91,1287,14.1,12,71,63.0,70,5.7,80.4,71.7%,10.1,11.0,37.0,0,1.0,36.4,12.0,3.4,2.3,0.7,102,13.0,1324,12,3.0,16,,,,,,,,,,,,PB,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Randall Cobb,2015.0,25.0,GNB,WR,18.0,16,15,129,79,829,10.5,6,42,45.0,53,4.9,51.8,61.2%,6.4,13.0,50.0,0,3.0,46.2,12.0,3.8,3.1,0.8,92,9.6,879,6,1.0,8,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Randall Cobb,2016.0,26.0,GNB,WR,18.0,13,10,84,60,610,10.2,4,36,57.1,47,4.6,46.9,71.4%,7.3,10.0,33.0,0,4.0,50.0,14.0,3.3,2.5,0.8,70,9.2,643,4,1.0,6,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Randall Cobb,2017.0,27.0,GNB,WR,18.0,15,14,92,66,653,9.9,4,30,47.8,46,4.4,43.5,71.7%,7.1,9.0,17.0,0,1.0,33.3,10.0,1.9,1.1,0.6,75,8.9,670,4,1.0,6,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Randall Cobb,2018.0,28.0,GNB,WR,18.0,9,6,61,38,383,10.1,2,18,45.9,75,4.2,42.6,62.3%,6.3,,,0,,,,,,,38,10.1,383,2,2.0,3,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Randall Cobb,2019.0,29.0,DAL,WR,18.0,15,6,83,55,828,15.1,3,41,54.2,59,3.7,55.2,66.3%,10.0,3.0,11.0,0,0.0,66.7,7.0,3.7,0.7,0.2,58,14.5,839,3,2.0,7,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Randall Cobb,2020.0,30.0,HOU,WR,18.0,10,2,48,38,441,11.6,3,20,70.8,34,3.8,44.1,79.2%,9.2,,,0,,,,,,,38,11.6,441,3,0.0,4,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Randall Cobb,2021.0,31.0,GNB,WR,18.0,12,3,39,28,375,13.4,5,21,59.0,54,2.3,31.3,71.8%,9.6,1.0,1.0,0,0.0,0.0,1.0,1.0,0.1,0.1,29,13.0,376,5,1.0,4,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Randall Cobb,2022.0,32.0,GNB,WR,18.0,13,3,50,34,417,12.3,1,19,56.0,40,2.6,32.1,68.0%,8.3,,,0,,,,,,,34,12.3,417,1,1.0,4,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Randall Cobb,2023.0,33.0,NYJ,WR,18.0,11,1,17,5,39,7.8,1,3,17.6,15,0.5,3.5,29.4%,2.3,,,0,,,,,,,5,7.8,39,1,0.0,0,,,,,,,,,,,,,,,,,4546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Mac Cody,1999.0,27.0,ARI,WR,82.0,13,0,,,373,11.7,0,,,31,,,,,,76,0,,,29,,,,,,,,,0,,,,,,,,,,,,,32.0,4.0,19.0,509.0,4578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Mac Cody,2000.0,28.0,ARI,WR,82.0,15,1,,,222,7.2,0,,,25,,,,,,18,0,,,18,,,,,,,,,2,,,,,,,,,,,,,31.0,1.0,18.0,452.0,4578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Donald Coffey,1963.0,24.0,DEN,WR,26.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,4590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Wayne Coffey,1987.0,23.0,NWE,WR,83.0,3,2,,3,66,22.0,0,,,35,1.0,22.0,,,,,0,,,,,,,3,22.0,66,0,0.0,1,,,,,,,,,,,,,,,,,4593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Darrell Colbert,1987.0,23.0,KAN,WR,81.0,12,0.0,,3,21,7.0,0,,,9,0.3,1.8,,,,,0,,,,,,,3,7.0,21,0,0,0,,,,,,,,,,,,,,,,,4612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Darrell Colbert,1988.0,24.0,KAN,WR,81.0,3,0.0,,1,-3,-3.0,0,,,-3,0.3,-1.0,,,,,0,,,,,,,1,-3.0,-3,0,1,0,,,,,,,,,,,,,,,,,4612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Keary Colbert,2004.0,22.0,CAR,WR,83.0,15,15,92.0,47.0,754.0,16.0,5,32.0,42.4,63.0,3.1,50.3,51.1%,8.2,,,0,,,,,,,47.0,16.0,754.0,5,1.0,7,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Keary Colbert,2005.0,23.0,CAR,WR,83.0,16,16,55.0,25.0,282.0,11.3,2,15.0,41.8,42.0,1.6,17.6,45.5%,5.1,1.0,6.0,0,0.0,0.0,6.0,6.0,0.4,0.1,26.0,11.1,288.0,2,1.0,3,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Keary Colbert,2006.0,24.0,CAR,WR,83.0,12,3,12.0,5.0,56.0,11.2,0,4.0,33.3,16.0,0.4,4.7,41.7%,4.7,,,0,,,,,,,5.0,11.2,56.0,0,0.0,0,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Keary Colbert,2007.0,25.0,CAR,WR,83.0,12,8,69.0,32.0,332.0,10.4,0,16.0,39.1,43.0,2.7,27.7,46.4%,4.8,,,0,,,,,,,32.0,10.4,332.0,0,1.0,3,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Keary Colbert,2008.0,26.0,3TM,WR,,13,7,27.0,12.0,116.0,9.7,1,16.0,37.0,28.0,0.9,8.9,44.4%,4.3,,,0,,,,,,,12.0,9.7,116.0,1,0.0,1,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Keary Colbert,2011.0,29.0,KAN,WR,84.0,7,0,12.0,9.0,89.0,9.9,0,4.0,50.0,19.0,1.3,12.7,75.0%,7.4,,,0,,,,,,,9.0,9.9,89.0,0,1.0,1,,,,,,,,,,,,,,,,,4613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Chris Cole,2000.0,23.0,DEN,WR,84.0,8,0,,,,,0,,,,,,,,,264,0,,,37,,,,,,,,,0,,,,,,,,,,,,,,11.0,24.0,264.0,4621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Chris Cole,2001.0,24.0,DEN,WR,84.0,16,2,,,,,0,,,,,,,,,1127,0,,,52,,,,,,,,,1,,,,,,,,,,,,,,48.0,23.5,1255.0,4621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Chris Cole,2003.0,26.0,DEN,WR,81.0,11,0,,,,,0,,,,,,,,,714,0,,,34,,,,,,,,,0,,,,,,,,,,,,,,30.0,23.8,758.0,4621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Keelan Cole,2017.0,24.0,JAX,WR,84.0,16,6,83,42,748,17.8,3,32,45.8,75,2.6,46.8,50.6%,9.0,,,0,,,,,,,42,17.8,748,3,2.0,6,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Keelan Cole,2018.0,25.0,JAX,WR,84.0,16,11,70,38,491,12.9,1,25,52.9,35,2.4,30.7,54.3%,7.0,,,0,,,,,,,38,12.9,491,1,2.0,3,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Keelan Cole,2019.0,26.0,JAX,WR,84.0,16,1,35,24,361,15.0,3,19,60.0,55,1.5,22.6,68.6%,10.3,1.0,6.0,0,0.0,100.0,6.0,6.0,0.4,0.1,25,14.7,367,3,0.0,3,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Keelan Cole,2020.0,27.0,JAX,WR,84.0,16,5,88,55,642,11.7,5,34,58.0,51,3.4,40.1,62.5%,7.3,1.0,2.0,0,0.0,0.0,2.0,2.0,0.1,0.1,56,11.5,644,5,0.0,6,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Keelan Cole,2021.0,28.0,NYJ,WR,88.0,15,11,51,28,449,16.0,1,20,49.0,54,1.9,29.9,54.9%,8.8,,,0,,,,,,,28,16.0,449,1,0.0,3,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Keelan Cole,2022.0,29.0,LVR,WR,84.0,14,3,21,10,141,14.1,1,8,47.6,30,0.7,10.1,47.6%,6.7,,,0,,,,,,,10,14.1,141,1,1.0,1,,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Linzy Cole,1970.0,22.0,CHI,WR,25.0,7,3,,,83.0,5.9,0,,,15.0,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,14.0,,,130.0,4632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Linzy Cole,1971.0,23.0,HOU,WR,87.0,14,1,,,107.0,7.6,0,,,31.0,,,,,,834.0,0,,,45.0,,,,,,,,,0,,,,,,,,,,,,,14.0,32.0,26.1,941.0,4632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Linzy Cole,1972.0,24.0,2TM,WR,,10,0,,,35.0,5.0,0,,,13.0,,,,,,456.0,0,,,51.0,,,,,,,,,0,,,,,,,,,,,,,7.0,18.0,25.3,491.0,4632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Matt Cole,2020.0,24.0,SFO,WR,17.0,1,0.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,,,,,,,4635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Matt Cole,2021.0,25.0,CAR,WR,83.0,1,0.0,,,,,0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,4635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Andre Coleman,1994.0,22.0,SDG,WR,83.0,13,0,,,,,0,,,,,,,,,1293.0,2,,,90.0,,,,,,,,,2,,,,,,,,,,,,,,49.0,26.4,1293.0,4644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Andre Coleman,1995.0,23.0,SDG,WR,83.0,15,0,,,326.0,11.6,1,,,88.0,,,,,,1411.0,2,,,92.0,,,,,,,,,4,,,,,,,,,,,,,28.0,62.0,22.8,1804.0,4644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Andre Coleman,1996.0,24.0,SDG,WR,83.0,16,10,,,,,0,,,,,,,,,1210.0,0,,,57.0,,,,,,,,,4,,,,,,,,,,,,,,55.0,22.0,1696.0,4644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Andre Coleman,1997.0,25.0,2TM,WR,,10,0,,,5.0,1.0,0,,,5.0,,,,,,552.0,0,,,29.0,,,,,,,,,0,,,,,,,,,,,,,5.0,27.0,20.4,557.0,4644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Andre Coleman,1998.0,26.0,PIT,WR,83.0,4,0,,,53.0,5.3,0,,,12.0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,10.0,,,102.0,4644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Brandon Coleman,2015.0,23.0,NOR,WR,16.0,16,4,49,30,454,15.1,2,22,55.1,31,1.9,28.4,61.2%,9.3,,,0,,,,,,,30,15.1,454,2,0,4,,,,,,,,,,,,,,,,,4649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Brandon Coleman,2016.0,24.0,NOR,WR,16.0,16,4,38,26,281,10.8,3,16,60.5,38,1.6,17.6,68.4%,7.4,,,0,,,,,,,26,10.8,281,3,0,2,,,,,,,,,,,,,,,,,4649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Brandon Coleman,2017.0,25.0,NOR,WR,16.0,16,6,37,23,364,15.8,3,13,51.4,54,1.4,22.8,62.2%,9.8,,,0,,,,,,,23,15.8,364,3,2,4,,,,,,,,,,,,,,,,,4649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Chris Coleman,2000.0,23.0,TEN,WR,17.0,13,0.0,,,,,0,,,,,,,,,54,0,,,27,,,,,,,,,0,,,,,,,,,,,,,,2.0,27.0,54.0,4651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Chris Coleman,2001.0,24.0,TEN,WR,80.0,16,0.0,,,,,0,,,,,,,,,251,0,,,34,,,,,,,,,0,,,,,,,,,,,,,,11.0,22.8,270.0,4651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Clarence Coleman,2003.0,23.0,BUF,WR,85.0,14,0.0,17,8,69,8.6,0,5,41.2,12,0.6,4.9,47.1%,4.1,,,0,,,,,,,8,8.6,69,0,0.0,1,,,,,,,,,,,,,,,,,4652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Corey Coleman,2016.0,22.0,CLE,WR,19.0,10,10,73,33,413,12.5,3,18,37.0,58,3.3,41.3,45.2%,5.7,2.0,10.0,0,0.0,50.0,9.0,5.0,1.0,0.2,35,12.1,423,3,0.0,3,,,,,,,,,,,,,,,,,4653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Corey Coleman,2017.0,23.0,CLE,WR,19.0,9,8,58,23,305,13.3,2,17,34.5,44,2.6,33.9,39.7%,5.3,,,0,,,,,,,23,13.3,305,2,0.0,2,,,,,,,,,,,,,,,,,4653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Corey Coleman,2018.0,24.0,NYG,WR,19.0,8,1,8,5,71,14.2,0,5,62.5,30,0.6,8.9,62.5%,8.9,1.0,5.0,0,0.0,100.0,5.0,5.0,0.6,0.1,6,12.7,76,0,0.0,1,,,,,,,,,,,,,,,,,4653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Fred Coleman,2001.0,26.0,NWE,WR,84.0,8,0.0,4.0,2.0,50.0,25.0,0,1.0,50.0,46.0,0.3,6.3,50.0%,12.5,,,0,,,,,,,2.0,25.0,50.0,0,0.0,1,,,,,,,,,,,,,,,,,4665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,Fred Coleman,2002.0,27.0,NWE,WR,84.0,1,0.0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,4665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Pat Coleman,1990.0,23.0,NWE,WR,47.0,1,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Pat Coleman,1991.0,24.0,HOU,WR,87.0,14,0,,11.0,138.0,12.5,1,,,26.0,0.8,9.9,,,,,0,,,,,,,11.0,12.5,138.0,1,3.0,1,,,,,,,,,,,,,,,,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Pat Coleman,1992.0,25.0,HOU,WR,87.0,14,0,4.0,2.0,10.0,5.0,0,,,6.0,0.1,0.7,50.0%,2.5,,,0,,,,,,,2.0,5.0,10.0,0,0.0,0,,,,,,,,,,,,,,,,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,Pat Coleman,1993.0,26.0,HOU,WR,87.0,13,1,14.0,9.0,129.0,14.3,0,,,25.0,0.7,9.9,64.3%,9.2,1.0,1.0,0,,,1.0,1.0,0.1,0.1,10.0,13.0,130.0,0,0.0,1,,,,,,,,,,,,,,,,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Pat Coleman,1994.0,27.0,HOU,WR,87.0,10,2,52.0,20.0,298.0,14.9,1,11.0,28.8,81.0,2.0,29.8,38.5%,5.7,1.0,2.0,0,0.0,0.0,2.0,2.0,0.2,0.1,21.0,14.3,300.0,1,0.0,2,,,,,,,,,,,,,,,,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Laveranues Coles,2000.0,23.0,NYJ,WR,87.0,13,3,42,22,370,16.8,1,16,45.2,63,1.7,28.5,52.4%,8.8,2.0,15.0,0,0.0,0.0,8.0,7.5,1.2,0.2,24,16.0,385,1,0.0,3,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Laveranues Coles,2001.0,24.0,NYJ,WR,87.0,16,16,102,59,868,14.7,7,43,51.0,40,3.7,54.3,57.8%,8.5,10.0,108.0,0,6.0,70.0,20.0,10.8,6.8,0.6,69,14.1,976,7,1.0,10,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Laveranues Coles,2002.0,25.0,NYJ,WR,87.0,16,16,134,89,1264,14.2,5,67,63.4,43,5.6,79.0,66.4%,9.4,6.0,39.0,0,2.0,66.7,21.0,6.5,2.4,0.4,95,13.7,1303,5,1.0,14,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Laveranues Coles,2003.0,26.0,WAS,WR,80.0,16,16,159,82,1204,14.7,6,53,45.9,64,5.1,75.3,51.6%,7.6,10.0,39.0,0,3.0,40.0,23.0,3.9,2.4,0.6,92,13.5,1243,6,0.0,11,,,,,,,,,,,,PB,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,Laveranues Coles,2004.0,27.0,WAS,WR,80.0,16,16,168,90,950,10.6,1,52,43.5,45,5.6,59.4,53.6%,5.7,3.0,-3.0,0,2.0,66.7,7.0,-1.0,-0.2,0.2,93,10.2,947,1,1.0,7,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,Laveranues Coles,2005.0,28.0,NYJ,WR,87.0,16,16,132,73,845,11.6,5,53,47.7,43,4.6,52.8,55.3%,6.4,,,0,,,,,,,73,11.6,845,5,1.0,7,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,Laveranues Coles,2006.0,29.0,NYJ,WR,87.0,16,16,152,91,1098,12.1,6,53,49.3,58,5.7,68.6,59.9%,7.2,2.0,14.0,0,1.0,50.0,15.0,7.0,0.9,0.1,93,12.0,1112,6,1.0,11,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Laveranues Coles,2007.0,30.0,NYJ,WR,87.0,12,10,89,55,646,11.7,6,35,53.9,57,4.6,53.8,61.8%,7.3,,,0,,,,,,,55,11.7,646,6,0.0,5,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Laveranues Coles,2008.0,31.0,NYJ,WR,87.0,16,16,116,70,850,12.1,7,45,54.3,54,4.4,53.1,60.3%,7.3,2.0,9.0,0,0.0,50.0,6.0,4.5,0.6,0.1,72,11.9,859,7,1.0,9,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Laveranues Coles,2009.0,32.0,CIN,WR,11.0,16,13,77,43,514,12.0,5,29,49.4,40,2.7,32.1,55.8%,6.7,2.0,10.0,0,1.0,50.0,8.0,5.0,0.6,0.1,45,11.6,524,5,0.0,5,,,,,,,,,,,,,,,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,Stacy Coley,2017.0,23.0,MIN,WR,13.0,4,0.0,,,,,0,,,,,,,,,19.0,0,,,19.0,,,,,,,,,0,,,,,,,,,,,,,,1.0,19.0,19.0,4693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,Stacy Coley,2018.0,24.0,2TM,WR,,3,0.0,,,6.0,3.0,0,,,6.0,,,,,,27.0,0,,,21.0,,,,,,,,,0,,,,,,,,,,,,,2.0,2.0,13.5,33.0,4693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Austin Collie,2009.0,24.0,IND,WR,17.0,16,5,89,60,676,11.3,7,37.0,58.4,39,3.8,42.3,67.4%,7.6,2.0,1.0,0,0.0,0.0,2.0,0.5,0.1,0.1,62,10.9,677,7,0.0,8,,,,,,,,,,,,,,,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Austin Collie,2010.0,25.0,IND,WR,17.0,9,6,71,58,649,11.2,8,32.0,71.8,73,6.4,72.1,81.7%,9.1,,,0,,,,,,,58,11.2,649,8,1.0,6,,,,,,,,,,,,,,,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,Austin Collie,2011.0,26.0,IND,WR,17.0,16,5,96,54,514,9.5,1,35.0,45.8,27,3.4,32.1,56.3%,5.4,,,0,,,,,,,54,9.5,514,1,0.0,4,,,,,,,,,,,,,,,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Austin Collie,2012.0,27.0,IND,WR,17.0,1,0,1,1,6,6.0,0,,,6,1.0,6.0,100.0%,6.0,,,0,,,,,,,1,6.0,6,0,0.0,0,,,,,,,,,,,,,,,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
