,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
96,Seyi Ajirotutu,2014.0,27.0,SDG,WR,16.0,16.0,1.0,12.0,4.0,45.0,11.3,0.0,4.0,33.3,17.0,0.3,2.8,33.3%,3.8,,,0.0,,,,,,,4.0,11.3,45.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Seyi Ajirotutu,2015.0,28.0,PHI,WR,16.0,13.0,0.0,3.0,1.0,4.0,4.0,0.0,,,4.0,0.1,0.3,33.3%,1.3,,,0.0,,,,,,,1.0,4.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Landen Akers,2021.0,24.0,LAR,WR,84.0,2.0,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mike Akiu,1985.0,23.0,HOU,WR,86.0,9.0,0.0,,2.0,32.0,16.0,0.0,,,24.0,0.2,3.6,,,,,0.0,,,,,,,2.0,16.0,32.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Mike Akiu,1986.0,24.0,HOU,WR,86.0,11.0,1.0,,4.0,67.0,16.8,0.0,,,27.0,0.4,6.1,,,,,0.0,,,,,,,4.0,16.8,67.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Danario Alexander,2010.0,24.0,STL,WR,84.0,8.0,2.0,37.0,20.0,306.0,15.3,1.0,12.0,45.9,46.0,2.5,38.3,54.1%,8.3,,,0.0,,,,,,,20.0,15.3,306.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Danario Alexander,2011.0,25.0,STL,WR,84.0,10.0,5.0,60.0,26.0,431.0,16.6,2.0,19.0,41.7,68.0,2.6,43.1,43.3%,7.2,,,0.0,,,,,,,26.0,16.6,431.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Danario Alexander,2012.0,26.0,SDG,WR,84.0,10.0,6.0,62.0,37.0,658.0,17.8,7.0,29.0,58.1,80.0,3.7,65.8,59.7%,10.6,,,0.0,,,,,,,37.0,17.8,658.0,7.0,0.0,5.0,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Derrick Alexander,1994.0,23.0,CLE,WR,85.0,14.0,12.0,82.0,48.0,828.0,17.3,2.0,38.0,54.9,81.0,3.4,59.1,58.5%,10.1,4.0,38.0,0.0,3.0,75.0,25.0,9.5,2.7,0.3,52.0,16.7,866.0,2.0,2.0,9.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Derrick Alexander,1995.0,24.0,CLE,WR,85.0,14.0,2.0,29.0,15.0,216.0,14.4,0.0,9.0,44.8,40.0,1.1,15.4,51.7%,7.4,1.0,29.0,0.0,1.0,100.0,29.0,29.0,2.1,0.1,16.0,15.3,245.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
