,Name,Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Att,Yds.1,TD.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,Player ID,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,Ret,Rt,Y/Rt,APYd,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck
852,Orson Charles,2016.0,25.0,DET,TE,84.0,2,0,,,,0,,,,,,0,,,,,,,,0,,0,,,,,,,,4156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Orson Charles,2017.0,26.0,KAN,TE,82.0,5,0,2.0,53.0,26.5,0,35.0,0.4,10.6,,,0,,,,,2.0,26.5,53.0,0,0.0,1,2.0,1.0,50.0,100.0%,26.5,,,4156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Orson Charles,2018.0,27.0,CLE,TE,82.0,13,2,3.0,23.0,7.7,0,9.0,0.2,1.8,,,0,,,,,3.0,7.7,23.0,0,0.0,0,5.0,,60.0,60.0%,4.6,,,4156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,John Chesley,1984.0,22.0,MIA,TE,86.0,1,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,4210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Raymond Chester,1970.0,22.0,OAK,TE,87.0,14,12,42,556,13.2,7,43,3.0,39.7,,,0,,,,,42,13.2,556,7,1,7,,,,,,,,4217.0,,,,,,,,,,,,"AP ORoY-3, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Raymond Chester,1971.0,23.0,OAK,TE,87.0,14,14,28,442,15.8,7,67,2.0,31.6,3.0,5.0,0,6.0,1.7,0.4,0.2,31,14.4,447,7,0,7,,,,,,,,4217.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Raymond Chester,1972.0,24.0,OAK,TE,87.0,13,11,34,576,16.9,8,68,2.6,44.3,1.0,3.0,0,3.0,3.0,0.2,0.1,35,16.5,579,8,0,8,,,,,,,,4217.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Raymond Chester,1973.0,25.0,BAL,TE,87.0,13,10,18,181,10.1,1,40,1.4,13.9,1.0,1.0,0,1.0,1.0,0.1,0.1,19,9.6,182,1,1,2,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Raymond Chester,1974.0,26.0,BAL,TE,87.0,14,14,37,461,12.5,1,45,2.6,32.9,,,0,,,,,37,12.5,461,1,3,5,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Raymond Chester,1975.0,27.0,BAL,TE,87.0,14,14,38,457,12.0,3,32,2.7,32.6,,,0,,,,,38,12.0,457,3,1,6,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Raymond Chester,1976.0,28.0,BAL,TE,87.0,14,14,24,467,19.5,3,48,1.7,33.4,,,0,,,,,24,19.5,467,3,0,8,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Raymond Chester,1977.0,29.0,BAL,TE,87.0,14,14,31,556,17.9,3,78,2.2,39.7,,,0,,,,,31,17.9,556,3,1,8,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Raymond Chester,1978.0,30.0,OAK,TE,88.0,16,0,13,146,11.2,2,27,0.8,9.1,,,0,,,,,13,11.2,146,2,0,1,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Raymond Chester,1979.0,31.0,OAK,TE,88.0,14,13,58,712,12.3,8,39,4.1,50.9,,,0,,,,,58,12.3,712,8,0,8,,,,,,,,4217.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Raymond Chester,1980.0,32.0,OAK,TE,88.0,16,10,28,366,13.1,4,47,1.8,22.9,,,0,,,,,28,13.1,366,4,1,4,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Raymond Chester,1981.0,33.0,OAK,TE,88.0,16,5,13,93,7.2,1,15,0.8,5.8,,,0,,,,,13,7.2,93,1,0,1,,,,,,,,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Henry Childs,1974.0,23.0,2TM,TE,,7,0,,,,0,,,,,,0,,,,,,,,0,0.0,0,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Henry Childs,1975.0,24.0,NOR,TE,85.0,14,4,10.0,179.0,17.9,0,38.0,0.7,12.8,,,0,,,,,10.0,17.9,179.0,0,0.0,1,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Henry Childs,1976.0,25.0,NOR,TE,85.0,14,11,26.0,349.0,13.4,3,46.0,1.9,24.9,1.0,16.0,1,16.0,16.0,1.1,0.1,27.0,13.5,365.0,4,0.0,4,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Henry Childs,1977.0,26.0,NOR,TE,85.0,13,10,33.0,518.0,15.7,9,59.0,2.5,39.8,,,0,,,,,33.0,15.7,518.0,9,0.0,7,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Henry Childs,1978.0,27.0,NOR,TE,85.0,16,16,53.0,869.0,16.4,4,52.0,3.3,54.3,2.0,-4.0,0,-1.0,-2.0,-0.3,0.1,55.0,15.7,865.0,4,1.0,9,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Henry Childs,1979.0,28.0,NOR,TE,85.0,16,16,51.0,846.0,16.6,5,51.0,3.2,52.9,,,0,,,,,51.0,16.6,846.0,5,1.0,11,,,,,,,,4236.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Henry Childs,1980.0,29.0,NOR,TE,85.0,13,7,34.0,463.0,13.6,6,30.0,2.6,35.6,,,0,,,,,34.0,13.6,463.0,6,1.0,4,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Henry Childs,1981.0,30.0,RAM,TE,83.0,7,7,12.0,145.0,12.1,1,39.0,1.7,20.7,1.0,0.0,0,0.0,0.0,0.0,0.1,13.0,11.2,145.0,1,1.0,1,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Henry Childs,1984.0,33.0,GNB,TE,89.0,3,2,4.0,32.0,8.0,0,17.0,1.3,10.7,,,0,,,,,4.0,8.0,32.0,0,0.0,0,,,,,,,,4236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Mark Chmura,1993.0,24.0,GNB,TE,89.0,14,0,2,13,6.5,0,7,0.1,0.9,,,0,,,,,2,6.5,13,0,1,0,4,,,50.0%,3.3,,,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Mark Chmura,1994.0,25.0,GNB,TE,89.0,14,4,14,165,11.8,0,27,1.0,11.8,,,0,,,,,14,11.8,165,0,0,2,21,9.0,52.4,66.7%,7.9,,,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Mark Chmura,1995.0,26.0,GNB,TE,89.0,16,15,54,679,12.6,7,33,3.4,42.4,,,0,,,,,54,12.6,679,7,0,7,75,43.0,70.7,72.0%,9.1,,,4247.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Mark Chmura,1996.0,27.0,GNB,TE,89.0,13,13,28,370,13.2,0,29,2.2,28.5,,,0,,,,,28,13.2,370,0,0,4,48,19.0,54.2,58.3%,7.7,,,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Mark Chmura,1997.0,28.0,GNB,TE,89.0,15,14,38,417,11.0,6,32,2.5,27.8,,,0,,,,,38,11.0,417,6,1,5,56,25.0,58.9,67.9%,7.4,,,4247.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Mark Chmura,1998.0,29.0,GNB,TE,89.0,15,14,47,554,11.8,4,25,3.1,36.9,,,0,,,,,47,11.8,554,4,1,6,74,30.0,52.7,63.5%,7.5,,,4247.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Mark Chmura,1999.0,30.0,GNB,TE,89.0,2,2,5,55,11.0,0,16,2.5,27.5,,,0,,,,,5,11.0,55,0,0,0,9,3.0,55.6,55.6%,6.1,,,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Todd Christensen,1979.0,23.0,2TM,RB,,13,0,,,,0,,,,,,0,,,,,,,,0,0.0,0,,,,,,,,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Todd Christensen,1980.0,24.0,OAK,TE,46.0,16,0,,,,0,,,,,,0,,,,,,,,0,0.0,0,,,,,,,,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Todd Christensen,1981.0,25.0,OAK,TE,46.0,16,0,8.0,115.0,14.4,2,30.0,0.5,7.2,,,0,,,,,8.0,14.4,115.0,2,0.0,1,,,,,,,,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Todd Christensen,1982.0,26.0,RAI,TE,46.0,9,9,42.0,510.0,12.1,4,50.0,4.7,56.7,1.0,-6.0,0,-6.0,-6.0,-0.7,0.1,43.0,11.7,504.0,4,3.0,10,,,,,,,,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Todd Christensen,1983.0,27.0,RAI,TE,46.0,16,16,92.0,1247.0,13.6,12,45.0,5.8,77.9,,,0,,,,,92.0,13.6,1247.0,12,1.0,12,,,,,,,,4266.0,,,,,,,,,,,,"AP1, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Todd Christensen,1984.0,28.0,RAI,TE,46.0,16,16,80.0,1007.0,12.6,7,38.0,5.0,62.9,,,0,,,,,80.0,12.6,1007.0,7,1.0,8,,,,,,,,4266.0,,,,,,,,,,,,"AP2, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Todd Christensen,1985.0,29.0,RAI,TE,46.0,16,16,82.0,987.0,12.0,6,48.0,5.1,61.7,,,0,,,,,82.0,12.0,987.0,6,0.0,9,,,,,,,,4266.0,,,,,,,,,,,,"AP1, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Todd Christensen,1986.0,30.0,RAI,TE,46.0,16,16,95.0,1153.0,12.1,8,35.0,5.9,72.1,,,0,,,,,95.0,12.1,1153.0,8,1.0,9,,,,,,,,4266.0,,,,,,,,,,,,"AP OPoY-5, AP2, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Todd Christensen,1987.0,31.0,RAI,TE,46.0,12,12,47.0,663.0,14.1,2,33.0,3.9,55.3,,,0,,,,,47.0,14.1,663.0,2,0.0,6,,,,,,,,4266.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Todd Christensen,1988.0,32.0,RAI,TE,46.0,7,5,15.0,190.0,12.7,0,22.0,2.1,27.1,,,0,,,,,15.0,12.7,190.0,0,0.0,2,,,,,,,,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Brad Christenson,2002.0,25.0,OAK,TE,48,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,4267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Gerald Christian,2016.0,25.0,BUF,TE,87.0,3,0.0,1,14,14.0,0,14,0.3,4.7,,,0,,,,,1,14.0,14,0,0.0,0,2,1,50.0,50.0%,7.0,,,4269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Pete Chryplewicz,1997.0,23.0,DET,TE,81.0,10,0,3,27,9.0,1,12,0.3,2.7,,,0,,,,,3,9.0,27,1,0,0,3,3.0,100.0,100.0%,9.0,,,4287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Pete Chryplewicz,1998.0,24.0,DET,TE,81.0,16,2,4,20,5.0,2,8,0.3,1.3,,,0,,,,,4,5.0,20,2,1,0,7,2.0,57.1,57.1%,2.9,,,4287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Pete Chryplewicz,1999.0,25.0,DET,TE,81.0,11,1,2,18,9.0,0,13,0.2,1.6,,,0,,,,,2,9.0,18,0,0,0,2,,,100.0%,9.0,,,4287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Brad Cieslak,2005.0,23.0,BUF,TE,48.0,2,0,,,,0,,,,,,0,,,,,,,,0,,0,,,,,,,,4304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Brad Cieslak,2006.0,24.0,BUF,TE,86.0,7,2,6.0,46.0,7.7,0,13.0,0.9,6.6,,,0,,,,,6.0,7.7,46.0,0,0.0,0,9.0,2.0,66.7,66.7%,5.1,,,4304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Brad Cieslak,2007.0,25.0,BUF,TE,48.0,2,0,,,,0,,,,,,0,,,,,,,,0,,0,,,,,,,,4304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Brad Cieslak,2008.0,26.0,CLE,TE,88.0,1,0,,,,0,,,,,,0,,,,,,,,0,0.0,0,,,,,,,,4304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Dallas Clark,2003.0,24.0,IND,TE,44.0,10,10,29,340,11.7,1,42,2.9,34.0,,,0,,,,,29,11.7,340,1,0.0,4,42,16,52.4,69.0%,8.1,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Dallas Clark,2004.0,25.0,IND,TE,44.0,15,13,25,423,16.9,5,80,1.7,28.2,,,0,,,,,25,16.9,423,5,2.0,5,39,18,56.4,64.1%,10.8,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Dallas Clark,2005.0,26.0,IND,TE,44.0,15,14,37,488,13.2,4,56,2.5,32.5,,,0,,,,,37,13.2,488,4,0.0,6,52,25,63.5,71.2%,9.4,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Dallas Clark,2006.0,27.0,IND,TE,44.0,12,12,30,367,12.2,4,40,2.5,30.6,,,0,,,,,30,12.2,367,4,0.0,5,57,22,50.9,52.6%,6.4,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Dallas Clark,2007.0,28.0,IND,TE,44.0,15,15,58,616,10.6,11,39,3.9,41.1,2.0,29.0,0,15.0,14.5,1.9,0.1,60,10.8,645,11,0.0,8,101,37,50.5,57.4%,6.1,2.0,100.0,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Dallas Clark,2008.0,29.0,IND,TE,44.0,15,15,77,848,11.0,6,33,5.1,56.5,,,0,,,,,77,11.0,848,6,2.0,10,107,41,61.7,72.0%,7.9,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Dallas Clark,2009.0,30.0,IND,TE,44.0,16,16,100,1106,11.1,10,80,6.3,69.1,2.0,11.0,0,7.0,5.5,0.7,0.1,102,11.0,1117,10,1.0,12,133,61,60.9,75.2%,8.3,1.0,100.0,4354.0,,,,,,,,,,,,"AP1, PB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Dallas Clark,2010.0,31.0,IND,TE,44.0,6,6,37,347,9.4,3,50,6.2,57.8,,,0,,,,,37,9.4,347,3,0.0,3,53,21,62.3,69.8%,6.5,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Dallas Clark,2011.0,32.0,IND,TE,44.0,11,10,34,352,10.4,2,21,3.1,32.0,,,0,,,,,34,10.4,352,2,1.0,2,65,22,49.2,52.3%,5.4,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Dallas Clark,2012.0,33.0,TAM,TE,44.0,16,7,47,435,9.3,4,33,2.9,27.2,,,0,,,,,47,9.3,435,4,0.0,4,75,23,45.3,62.7%,5.8,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Dallas Clark,2013.0,34.0,BAL,TE,87.0,12,0,31,343,11.1,3,45,2.6,28.6,,,0,,,,,31,11.1,343,3,0.0,2,52,19,46.2,59.6%,6.6,,,4354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Desmond Clark,1999.0,22.0,DEN,TE,88.0,9,0,1,5,5.0,0,5,0.1,0.6,,,0,,,,,1,5.0,5,0,0.0,0,1,,,100.0%,5.0,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Desmond Clark,2000.0,23.0,DEN,TE,88.0,16,2,27,339,12.6,3,44,1.7,21.2,,,0,,,,,27,12.6,339,3,0.0,4,38,18.0,57.9,71.1%,8.9,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Desmond Clark,2001.0,24.0,DEN,TE,88.0,16,4,51,566,11.1,6,39,3.2,35.4,,,0,,,,,51,11.1,566,6,3.0,6,76,,,67.1%,7.4,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Desmond Clark,2002.0,25.0,MIA,TE,85.0,11,0,2,42,21.0,0,26,0.2,3.8,,,0,,,,,2,21.0,42,0,0.0,0,3,2.0,66.7,66.7%,14.0,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Desmond Clark,2003.0,26.0,CHI,TE,88.0,15,15,44,433,9.8,2,31,2.9,28.9,,,0,,,,,44,9.8,433,2,2.0,4,71,23.0,47.9,62.0%,6.1,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Desmond Clark,2004.0,27.0,CHI,TE,88.0,15,13,24,282,11.8,1,31,1.6,18.8,,,0,,,,,24,11.8,282,1,1.0,2,49,14.0,44.9,49.0%,5.8,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Desmond Clark,2005.0,28.0,CHI,TE,88.0,16,16,24,229,9.5,2,31,1.5,14.3,,,0,,,,,24,9.5,229,2,0.0,2,49,16.0,38.8,49.0%,4.7,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Desmond Clark,2006.0,29.0,CHI,TE,88.0,16,16,45,626,13.9,6,33,2.8,39.1,,,0,,,,,45,13.9,626,6,0.0,6,80,35.0,52.5,56.3%,7.8,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Desmond Clark,2007.0,30.0,CHI,TE,88.0,16,16,44,545,12.4,4,52,2.8,34.1,,,0,,,,,44,12.4,545,4,1.0,4,67,25.0,52.2,65.7%,8.1,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Desmond Clark,2008.0,31.0,CHI,TE,88.0,16,16,41,367,9.0,1,35,2.6,22.9,,,0,,,,,41,9.0,367,1,1.0,3,73,18.0,45.2,56.2%,5.0,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Desmond Clark,2009.0,32.0,CHI,TE,88.0,11,7,19,145,7.6,2,26,1.7,13.2,,,0,,,,,19,7.6,145,2,0.0,1,34,7.0,32.4,55.9%,4.3,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Desmond Clark,2010.0,33.0,CHI,TE,88.0,5,0,1,12,12.0,0,12,0.2,2.4,,,0,,,,,1,12.0,12,0,0.0,0,2,1.0,50.0,50.0%,6.0,,,4361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Greg Clark,1997.0,25.0,SFO,TE,85.0,15,4,8,96,12.0,1,23,0.5,6.4,,,0,,,,,8,12.0,96,1,0,1,10,6,80.0,80.0%,9.6,,,4372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Greg Clark,1998.0,26.0,SFO,TE,85.0,13,9,12,124,10.3,1,23,0.9,9.5,,,0,,,,,12,10.3,124,1,0,1,26,9,42.3,46.2%,4.8,,,4372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Greg Clark,1999.0,27.0,SFO,TE,85.0,12,11,34,347,10.2,0,24,2.8,28.9,,,0,,,,,34,10.2,347,0,1,3,55,24,56.4,61.8%,6.3,,,4372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Greg Clark,2000.0,28.0,SFO,TE,85.0,15,15,38,342,9.0,2,34,2.5,22.8,,,0,,,,,38,9.0,342,2,1,4,51,18,56.9,74.5%,6.7,,,4372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Howard Clark,1960.0,25.0,LAC,TE,87.0,13,8,27,431,16.0,0,50,2.1,33.2,,,0,,,,,27,16.0,431,0,1,5,,,,,,,,4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Howard Clark,1961.0,26.0,SDG,TE,87.0,10,8,11,182,16.5,0,33,1.1,18.2,,,0,,,,,11,16.5,182,0,0,2,,,,,,,,4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Charles Clay,2011.0,22.0,MIA,FB,31.0,14,9,16,233,14.6,3,46,1.1,16.6,,,0,,,,,16,14.6,233,3,0.0,2,25,12,48.0,64.0%,9.3,,,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Charles Clay,2012.0,23.0,MIA,FB,42.0,14,9,18,212,11.8,2,31,1.3,15.1,,,0,,,,,18,11.8,212,2,0.0,2,33,8,39.4,54.5%,6.4,,,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Charles Clay,2013.0,24.0,MIA,TE,42.0,16,15,69,759,11.0,6,67,4.3,47.4,7.0,15.0,1,13.0,2.1,0.9,0.4,76,10.2,774,7,0.0,6,102,36,56.9,67.6%,7.4,2.0,28.6,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Charles Clay,2014.0,25.0,MIA,TE,42.0,14,14,58,605,10.4,3,41,4.1,43.2,,,0,,,,,58,10.4,605,3,0.0,5,84,31,50.0,69.0%,7.2,,,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Charles Clay,2015.0,26.0,BUF,TE,85.0,13,13,51,528,10.4,3,40,3.9,40.6,,,0,,,,,51,10.4,528,3,1.0,5,77,26,46.8,66.2%,6.9,,,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Charles Clay,2016.0,27.0,BUF,TE,85.0,15,15,57,552,9.7,4,40,3.8,36.8,,,0,,,,,57,9.7,552,4,0.0,6,87,22,47.1,65.5%,6.3,,,4438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
