,Name,Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Att,Yds.1,TD.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,Player ID,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,Ret,Rt,Y/Rt,APYd,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck
197,Gary Ballman,1962.0,22.0,PIT,FL,48.0,3.0,2.0,,,,0.0,,,,3.0,7.0,0.0,3.0,2.3,2.3,1.0,3.0,2.3,7.0,0.0,0.0,0.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Gary Ballman,1963.0,23.0,PIT,WR,85.0,14.0,4.0,26.0,492.0,18.9,5.0,67.0,1.9,35.1,8.0,59.0,0.0,18.0,7.4,4.2,0.6,34.0,16.2,551.0,5.0,2.0,7.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Gary Ballman,1964.0,24.0,PIT,FL/LE,85.0,13.0,13.0,47.0,935.0,19.9,7.0,47.0,3.6,71.9,11.0,43.0,0.0,11.0,3.9,3.3,0.8,58.0,16.9,978.0,7.0,2.0,11.0,,,,,,,,1075.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Gary Ballman,1965.0,25.0,PIT,FL,85.0,14.0,12.0,40.0,859.0,21.5,5.0,87.0,2.9,61.4,17.0,46.0,3.0,11.0,2.7,3.3,1.2,57.0,15.9,905.0,8.0,2.0,7.0,,,,,,,,1075.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Gary Ballman,1966.0,26.0,PIT,LE,85.0,13.0,13.0,41.0,663.0,16.2,5.0,79.0,3.2,51.0,,,0.0,,,,,41.0,16.2,663.0,5.0,2.0,7.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Gary Ballman,1967.0,27.0,PHI,LE,85.0,12.0,12.0,36.0,524.0,14.6,6.0,67.0,3.0,43.7,1.0,17.0,1.0,17.0,17.0,1.4,0.1,37.0,14.6,541.0,7.0,2.0,6.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Gary Ballman,1968.0,28.0,PHI,LE,85.0,12.0,12.0,30.0,341.0,11.4,4.0,55.0,2.5,28.4,1.0,30.0,0.0,30.0,30.0,2.5,0.1,31.0,12.0,371.0,4.0,0.0,4.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Gary Ballman,1969.0,29.0,PHI,TE,85.0,14.0,13.0,31.0,492.0,15.9,2.0,80.0,2.2,35.1,,,0.0,,,,,31.0,15.9,492.0,2.0,0.0,5.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Gary Ballman,1970.0,30.0,PHI,TE/WR,85.0,14.0,13.0,47.0,601.0,12.8,3.0,26.0,3.4,42.9,,,0.0,,,,,47.0,12.8,601.0,3.0,1.0,7.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Gary Ballman,1971.0,31.0,PHI,TE,85.0,6.0,6.0,13.0,238.0,18.3,0.0,57.0,2.2,39.7,,,0.0,,,,,13.0,18.3,238.0,0.0,1.0,2.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Gary Ballman,1972.0,32.0,PHI,TE,85.0,8.0,4.0,9.0,183.0,20.3,0.0,43.0,1.1,22.9,,,0.0,,,,,9.0,20.3,183.0,0.0,0.0,1.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Gary Ballman,1973.0,33.0,2TM,TE,,8.0,0.0,3.0,38.0,12.7,0.0,16.0,0.4,4.8,,,0.0,,,,,3.0,12.7,38.0,0.0,0.0,0.0,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Mike Banks,2002.0,23.0,ARI,TE,80.0,12.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,1115.0,,,0.0,0.0,0.0,7.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Mike Banks,2003.0,24.0,ARI,TE,84.0,6.0,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,1115.0,,,0.0,,0.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Warren Bankston,1969.0,22.0,PIT,RB,46.0,14.0,4.0,6.0,259.0,1.0,1.0,15.0,0.4,18.5,62.0,6.0,0.0,8.0,4.2,0.4,4.4,68.0,3.9,265.0,1.0,6.0,2.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Warren Bankston,1970.0,23.0,PIT,RB,46.0,4.0,0.0,7.0,122.0,4.3,2.0,31.0,1.8,30.5,26.0,30.0,0.0,20.0,4.7,7.5,6.5,33.0,4.6,152.0,2.0,1.0,1.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Warren Bankston,1971.0,24.0,PIT,RB,46.0,14.0,2.0,17.0,274.0,8.7,0.0,30.0,1.2,19.6,70.0,148.0,0.0,31.0,3.9,10.6,5.0,87.0,4.9,422.0,0.0,5.0,4.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Warren Bankston,1972.0,25.0,PIT,RB,46.0,7.0,0.0,1.0,20.0,5.0,0.0,11.0,0.1,2.9,7.0,5.0,0.0,5.0,2.9,0.7,1.0,8.0,3.1,25.0,0.0,0.0,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Warren Bankston,1973.0,26.0,OAK,TE,46.0,11.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Warren Bankston,1974.0,27.0,OAK,TE,46.0,14.0,0.0,,6.0,,0.0,6.0,,0.4,1.0,,0.0,,6.0,,0.1,1.0,6.0,6.0,0.0,0.0,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Warren Bankston,1975.0,28.0,OAK,TE,46.0,14.0,0.0,2.0,,10.5,0.0,,0.1,,,21.0,1.0,13.0,,1.5,,2.0,10.5,21.0,1.0,0.0,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Warren Bankston,1976.0,29.0,OAK,TE,46.0,14.0,1.0,5.0,3.0,14.6,0.0,3.0,0.4,0.2,1.0,73.0,1.0,29.0,3.0,5.2,0.1,6.0,12.7,76.0,1.0,0.0,1.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Warren Bankston,1977.0,30.0,OAK,TE,46.0,14.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Warren Bankston,1978.0,31.0,OAK,TE,46.0,8.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Mike Barber,1976.0,23.0,HOU,TE,86.0,2.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Mike Barber,1977.0,24.0,HOU,TE,86.0,13.0,10.0,9.0,94.0,10.4,1.0,23.0,0.7,7.2,,,0.0,,,,,9.0,10.4,94.0,1.0,0.0,1.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Mike Barber,1978.0,25.0,HOU,TE,86.0,16.0,16.0,32.0,513.0,16.0,3.0,72.0,2.0,32.1,2.0,14.0,0.0,13.0,7.0,0.9,0.1,34.0,15.5,527.0,3.0,4.0,7.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Mike Barber,1979.0,26.0,HOU,TE,86.0,15.0,15.0,27.0,377.0,14.0,3.0,37.0,1.8,25.1,2.0,4.0,0.0,6.0,2.0,0.3,0.1,29.0,13.1,381.0,3.0,1.0,5.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Mike Barber,1980.0,27.0,HOU,TE,86.0,16.0,16.0,59.0,712.0,12.1,5.0,79.0,3.7,44.5,1.0,1.0,0.0,1.0,1.0,0.1,0.1,60.0,11.9,713.0,5.0,0.0,6.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Mike Barber,1981.0,28.0,HOU,TE,86.0,16.0,5.0,13.0,190.0,14.6,1.0,35.0,0.8,11.9,,,0.0,,,,,13.0,14.6,190.0,1.0,0.0,2.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Mike Barber,1982.0,29.0,RAM,TE,86.0,9.0,9.0,18.0,166.0,9.2,1.0,21.0,2.0,18.4,,,0.0,,,,,18.0,9.2,166.0,1.0,0.0,3.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Mike Barber,1983.0,30.0,RAM,TE,86.0,16.0,16.0,55.0,657.0,11.9,3.0,42.0,3.4,41.1,,,0.0,,,,,55.0,11.9,657.0,3.0,1.0,6.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Mike Barber,1984.0,31.0,RAM,TE,86.0,11.0,2.0,7.0,42.0,6.0,0.0,11.0,0.6,3.8,,,0.0,,,,,7.0,6.0,42.0,0.0,1.0,0.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Mike Barber,1985.0,32.0,2TM,TE,,15.0,6.0,2.0,37.0,18.5,0.0,29.0,0.1,2.5,,,0.0,,,,,2.0,18.5,37.0,0.0,0.0,0.0,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Brandon Barden,2012.0,23.0,TEN,TE,81.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Ken Barefoot,1968.0,23.0,WAS,TE,81.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1167.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,6.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
